word,frequency,percentage,percentage_str,pos
我,299,2.79,2.79%,r
滑稽,114,1.06,1.06%,a
墨镜,96,0.9,0.90%,n
哭泣,90,0.84,0.84%,v
表面,90,0.84,0.84%,n
小米,76,0.71,0.71%,n
也,75,0.7,0.70%,d
被,72,0.67,0.67%,p
她,66,0.62,0.62%,r
相亲,60,0.56,0.56%,v
游戏,52,0.48,0.48%,n
不,50,0.47,0.47%,d
给,48,0.45,0.45%,p
Ultra,48,0.45,0.45%,eng
真,46,0.43,0.43%,d
跟,40,0.37,0.37%,p
手机,40,0.37,0.37%,n
人,38,0.35,0.35%,n
们,38,0.35,0.35%,k
还是,36,0.34,0.34%,c
兄弟,35,0.33,0.33%,n
钱,35,0.33,0.33%,n
系列,34,0.32,0.32%,q
叫,34,0.32,0.32%,v
流畅,34,0.32,0.32%,a
真的,33,0.31,0.31%,d
度,33,0.31,0.31%,q
有没有,33,0.31,0.31%,v
想换,32,0.3,0.30%,v
知道,32,0.3,0.30%,v
ultra,32,0.3,0.30%,eng
魅族,32,0.3,0.30%,n
手里,32,0.3,0.30%,s
从,31,0.29,0.29%,p
女朋友,31,0.29,0.29%,n
买,31,0.29,0.29%,v
报警,30,0.28,0.28%,n
回应,30,0.28,0.28%,v
偷,30,0.28,0.28%,v
你,30,0.28,0.28%,r
发布,30,0.28,0.28%,v
一个,30,0.28,0.28%,m
同学,30,0.28,0.28%,n
对象,30,0.28,0.28%,n
发,29,0.27,0.27%,v
将,29,0.27,0.27%,d
非常,28,0.26,0.26%,d
新,28,0.26,0.26%,a
用,27,0.25,0.25%,p
中国,26,0.24,0.24%,ns
女友,25,0.23,0.23%,n
可能,25,0.23,0.23%,v
问,24,0.22,0.22%,v
Neo,24,0.22,0.22%,eng
现在,24,0.22,0.22%,t
后,23,0.21,0.21%,f
这种,23,0.21,0.21%,r
学生,22,0.21,0.21%,n
酷安晒,22,0.21,0.21%,n
拿下,22,0.21,0.21%,v
王者,22,0.21,0.21%,n
SE,22,0.21,0.21%,eng
这样,22,0.21,0.21%,r
死,22,0.21,0.21%,v
公布,20,0.19,0.19%,v
黑色,20,0.19,0.19%,n
又,20,0.19,0.19%,d
不到,20,0.19,0.19%,v
才,20,0.19,0.19%,d
找,20,0.19,0.19%,v
苹果,19,0.18,0.18%,n
好,19,0.18,0.18%,a
系统,19,0.18,0.18%,n
原因,19,0.18,0.18%,n
换,19,0.18,0.18%,v
大,19,0.18,0.18%,a
权益,19,0.18,0.18%,n
坡,18,0.17,0.17%,n
山坡,18,0.17,0.17%,ns
摔倒,18,0.17,0.17%,v
山下,18,0.17,0.17%,s
米,18,0.17,0.17%,q
让,18,0.17,0.17%,v
摔坏,18,0.17,0.17%,v
